id,establishedYear,title,city,description,houseType,bhkType,address,shared,bedAvailable,roomAvailable,availableFor,bookingType,area(sq-fit),bathroomCount,furnishingType,facilities,minRent(Rs),minRoomRent(Rs),minRoomAdvance(Rs),lat,long,available_from
252824,2010.0,vyjayanth chalets,hyderabad,"This comfortable 3 BHK fully_furnished, house is located in the heart of Financial District, Hyderabad. Priced at ₹10800 per bed.",Gated Society Apartment,3 BHK,nanakramguda,1,1,0,boys,bed,2300,3,fully_furnished,"['Swimming Pool', 'Gym', 'Power Backup']",10800,21600,43200,17.41259765625,78.34345245361328,2023-10-06
359613,2016.0,Independent house ,hyderabad,"Looking for a spacious 6 BHK independent apartment for boys, girls, and family at an affordable price in Vikas Puri, Hyderabad? Then, this is right one for you.",Independent Apartment,6 BHK,sanjeeva reddy nagar,6,0,6,"boys,girls,family",house,3050,4,semi_furnished,[],33000,33000,600000,17.448793411254883,78.4315185546875,2023-10-07
295975,2018.0,RAJAGOPAL K NEST 201,bengaluru,"This charming semi_furnished 3 BHK independent apartment for boys, girls, and family is located at Sector 6,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,3 BHK,hsr layout,3,0,3,"boys,girls,family",house,2050,3,semi_furnished,[],33000,33000,99000,12.915772438049316,77.62539672851562,2023-10-07
360600,2023.0,Ramakrishna Nest-103,bengaluru,"This beautiful 2 BHK semi_furnished, house is located in the heart of Block 8, Bengaluru. Priced at ₹24000 for full house.",Independent Apartment,2 BHK,visveshwaraya layout,2,0,2,"boys,girls,family",house,1200,2,semi_furnished,[],12000,12000,72000,12.968829154968262,77.48986053466797,2023-10-07
224731,2001.0,Mf apartment-207,hyderabad,"This charming semi_furnished 2 BHK independent house for family is located at Alkapur Township,Hyderabad and is close to the major commercial centres of the area.",Independent House,2 BHK,neknampur,2,0,2,family,house,1050,2,semi_furnished,[],0,0,0,17.389781951904297,78.37578582763672,2023-10-17
273185,2010.0,Satguru Kripa Niwas 05,newdelhi,"Looking for a quiet STUDIO independent apartment for boys and girls at an affordable price in Block E, New delhi? Then, this is right one for you.",Independent Apartment,STUDIO,mohan garden,2,0,1,"boys,girls",bed,300,1,fully_furnished,"['AC', 'Fridge', 'Tv']",5050,10100,10100,28.624042510986328,77.03854370117188,2023-10-07
360649,2020.0,RS  COMFORT NEST-205,bengaluru,"Looking for a charming 1 BHK independent apartment for boys, girls, and family at an affordable price in Lakshmisagar Layout, Bengaluru? Then, this is right one for you.",Independent Apartment,1 BHK,mahadevapura,1,0,1,"boys,girls,family",house,450,1,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",25000,25000,75000,12.993149757385254,77.69349670410156,2023-10-07
332985,2014.0,RAJARAM NEST 2,chennai,"Looking for a spacious 1 BK independent house for boys at an affordable price in Uthandi, Chennai? Then, this is right one for you.",Independent House,1 BK,uthandi,1,0,1,boys,house,500,1,fully_furnished,"['Gym', 'AC', 'Power Backup', 'Fridge']",15000,15000,45000,12.869858741760254,80.24565887451172,2023-10-07
309972,2015.0,LLOYD Nest,mumbai,"This beautiful 2 BHK fully_furnished, house is located in the heart of Irla, Mumbai. Priced at ₹17450 per bed.",Independent House,2 BHK,ville parle west,3,1,1,boys,bed,680,2,fully_furnished,"['AC', 'Washing Machine', 'Fridge', 'Tv']",17450,35000,70000,19.107959747314453,72.84073638916016,2023-10-09
318961,2018.0,Provident Park Square,bengaluru,"Looking for a charming 2 BHK gated society apartment for girls and family at an affordable price in Provident Park Square, Bengaluru? Then, this is right one for you.",Gated Society Apartment,2 BHK,jyotipuram,2,0,2,"girls,family",house,900,2,semi_furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",14000,14000,42000,12.863670349121094,77.5406723022461,2023-10-07
263464,2012.0,Allwyn Nest,mumbai,"This cosy 1 BHK unfurnished, house is located in the heart of Jaydev Singh Nagar, Mumbai. Priced at ₹23000 for full house.",Gated Society Apartment,1 BHK,bhandup west,1,0,1,family,house,500,1,unfurnished,['Security'],23000,23000,101200,19.145238876342773,72.9302978515625,2023-10-10
5835,,FLAT NO 501 SAI GRACIA APARTMENTS,hyderabad,"This spacious fully_furnished 2 BHK independent apartment for boys is located at Indian Airlines Colony,Hyderabad and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,begumpet,5,0,2,boys,bed,1200,0,fully_furnished,[],5500,11100,22200,17.441181182861328,78.4731216430664,
323812,2015.0,Meena Nest,chennai,"This cosy 2 BHK semi_furnished, house is located in the heart of Parthasarathy Puram, T Nagar, Chennai, Tamil Nadu, India, Chennai. Priced at ₹27500 for full house.",Independent House,2 BHK,t nagar,2,0,2,family,house,1000,2,semi_furnished,[],13750,13750,68750,13.052778244018556,80.23522186279297,2023-10-07
347559,2020.0,HelloWorld Tranquil,bengaluru,"This spacious fully_furnished 2 BHK independent apartment for boys, girls, and family is located at Somasundarapalya,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,hsr layout,2,0,2,"boys,girls,family",house,1000,2,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",22000,22000,22000,12.899044036865234,77.65489959716797,2023-10-07
